successTracksId,successTrackName,useCaseName,useCaseId,currentPitstopName,pitStopName,pitstopActionName,pitstopActionId
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Onboard,Plan Architecture Transformation,DCC_SOP_ONB_3
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Onboard,Create Intersight Account,DCC_SOP_ONB_4
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Optimize,Implement Performance Tuning Best Practices,DCC_SOP_OPT_1
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Optimize,Leverage Advanced Topics,DCC_SOP_OPT_2
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Use,Login in to your Intersight Dashboard,DCC_SOP_USE_1
50320048,Data Center Compute,Simplified Operations,50320051,Adopt,Use,Claim Devices or leverage licenses,DCC_SOP_USE_2
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Onboard Client Endpoints,IBN_CDC_NPI_IMP_7
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Create your Catalyst Center Network Hierarchy and Configure Network Settings,IBN_CDC_NPI_IMP_3
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Configure your Catalyst Center Administration Best Practices,IBN_CDC_NPI_IMP_2
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Integrate Catalyst Center in Ongoing Network Operations Processes,IBN_CDC_NPI_IMP_8
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Configure your Catalyst Center High Availability and Basic System Settings,IBN_CDC_NPI_IMP_1
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Add Network Devices to Catalyst Center Inventory and Assign them to a Site,IBN_CDC_NPI_IMP_4
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Use the Catalyst Center API and Integrate with Other Platforms,IBN_CDC_NPI_IMP_5
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Implement,Upgrade Catalyst Center to Enable New Capabilities,IBN_CDC_NPI_IMP_6
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Adopt,Use the Catalyst Center API and Integrate with Other Platforms,IBN_CDC_NPI_ADO_1
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Adopt,Upgrade Catalyst Center to Enable New Capabilities,IBN_CDC_NPI_ADO_2
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Adopt,Scale your Network Infrastructure,IBN_CDC_NPI_ADO_3
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Use,Use Catalyst Center in Ongoing Network Operations Processes,IBN_CDC_NPI_USE_3
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Use,Use the Catalyst Center API and Integrate with Other Platforms,IBN_CDC_NPI_USE_1
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Use,Upgrade Catalyst Center to Enable New Capabilities,IBN_CDC_NPI_USE_2
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Onboard,Complete your Catalyst Center Installation,IBN_CDC_NPI_ONB_3
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Onboard,Learn about Catalyst Center,IBN_CDC_NPI_ONB_2
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Onboard,Plan your Catalyst Center Project,IBN_CDC_NPI_ONB_1
38396885,Campus Network,Campus Network Programmability and Integrations,58820011,Adopt,Engage,Use the Catalyst Center API and Integrate with Other Platforms,IBN_CDC_NPI_ENG_1
